"","section","id","id_attack","acc"
"1",1,24,7,0
"2",2,24,7,0
"3",3,24,7,0.25
"4",4,24,7,0.25
"5",5,24,7,0.5
"6",6,24,7,0.5
"7",7,24,7,0.2
"8",1,24,40,0
"9",2,24,40,0.142857142857143
"10",3,24,40,0.125
"11",4,24,40,0.166666666666667
"12",5,24,40,0.166666666666667
"13",6,24,40,0.125
"14",7,24,40,0.166666666666667
"15",1,24,67,0
"16",2,24,67,0.25
"17",3,24,67,0.25
"18",4,24,67,0.2
"19",5,24,67,0.5
"20",6,24,67,0.25
"21",7,24,67,0.5
"22",1,24,50,0
"23",2,24,50,0.25
"24",3,24,50,0.166666666666667
"25",4,24,50,0
"26",5,24,50,0
"27",6,24,50,0.25
"28",7,24,50,0
"29",1,24,6,0
"30",2,24,6,0
"31",3,24,6,0
"32",4,24,6,0.2
"33",5,24,6,0
"34",6,24,6,0.25
"35",7,24,6,0
"36",1,24,58,0.4
"37",2,24,58,0.2
"38",3,24,58,0.5
"39",4,24,58,0.75
"40",5,24,58,0.25
"41",6,24,58,0.25
"42",7,24,58,0
"43",1,24,66,0.166666666666667
"44",2,24,66,0.6
"45",3,24,66,0
"46",4,24,66,0.6
"47",5,24,66,0
"48",6,24,66,0.142857142857143
"49",7,24,66,0.4
"50",1,24,47,0.4
"51",2,24,47,0
"52",3,24,47,0.25
"53",4,24,47,0.5
"54",5,24,47,0.25
"55",6,24,47,0.25
"56",7,24,47,0.6
"57",1,24,19,0.2
"58",2,24,19,0.25
"59",3,24,19,0.25
"60",4,24,19,0.25
"61",5,24,19,0
"62",6,24,19,0.25
"63",7,24,19,0.285714285714286
"64",1,24,27,0.2
"65",2,24,27,0
"66",3,24,27,0
"67",4,24,27,0
"68",5,24,27,0
"69",6,24,27,0.4
"70",7,24,27,0
"71",1,24,26,0
"72",2,24,26,0
"73",3,24,26,0
"74",4,24,26,0.1
"75",5,24,26,0.111111111111111
"76",6,24,26,0.111111111111111
"77",7,24,26,0
"78",1,24,62,0
"79",2,24,62,0
"80",3,24,62,0
"81",4,24,62,0.25
"82",5,24,62,0
"83",6,24,62,0
"84",7,24,62,0
"85",1,24,68,0
"86",2,24,68,0.25
"87",3,24,68,0.5
"88",4,24,68,0.25
"89",5,24,68,0.75
"90",6,24,68,0.5
"91",7,24,68,0.25
"92",1,24,42,0.6
"93",2,24,42,0.25
"94",3,24,42,0.25
"95",4,24,42,0
"96",5,24,42,0.25
"97",6,24,42,0
"98",7,24,42,0
"99",1,24,12,0.125
"100",2,24,12,0
"101",3,24,12,0
"102",4,24,12,0.2
"103",5,24,12,0.125
"104",6,24,12,0
"105",7,24,12,0
"106",1,24,69,0
"107",2,24,69,0.6
"108",3,24,69,0
"109",4,24,69,0
"110",5,24,69,0
"111",6,24,69,0.25
"112",7,24,69,0.5
"113",1,24,73,0.2
"114",2,24,73,0.25
"115",3,24,73,0.125
"116",4,24,73,0.75
"117",5,24,73,0.2
"118",6,24,73,0.25
"119",7,24,73,0.4
"120",1,24,44,1
"121",2,24,44,0.5
"122",3,24,44,0.5
"123",4,24,44,0.75
"124",5,24,44,0.75
"125",6,24,44,0
"126",7,24,44,0.75
"127",1,24,10,0
"128",2,24,10,0
"129",3,24,10,0.25
"130",4,24,10,0.6
"131",5,24,10,0.5
"132",6,24,10,0
"133",7,24,10,0.25
"134",1,24,41,0
"135",2,24,41,0.2
"136",3,24,41,0.2
"137",4,24,41,0.25
"138",5,24,41,0.75
"139",6,24,41,0
"140",7,24,41,0
"141",1,24,70,0
"142",2,24,70,0.25
"143",3,24,70,0
"144",4,24,70,0
"145",5,24,70,0
"146",6,24,70,0.5
"147",7,24,70,0.2
"148",1,24,48,0
"149",2,24,48,0.5
"150",3,24,48,0.5
"151",4,24,48,0.25
"152",5,24,48,0.5
"153",6,24,48,0.5
"154",7,24,48,0.25
"155",1,24,8,0
"156",2,24,8,0.1
"157",3,24,8,0
"158",4,24,8,0
"159",5,24,8,0
"160",6,24,8,0
"161",7,24,8,0.166666666666667
"162",1,24,9,0
"163",2,24,9,0
"164",3,24,9,0
"165",4,24,9,0.166666666666667
"166",5,24,9,0
"167",6,24,9,0.25
"168",7,24,9,0.25
"169",1,24,25,0.142857142857143
"170",2,24,25,0.166666666666667
"171",3,24,25,0
"172",4,24,25,0
"173",5,24,25,0.4
"174",6,24,25,0
"175",7,24,25,0
"176",1,24,20,0.285714285714286
"177",2,24,20,0
"178",3,24,20,0.25
"179",4,24,20,0.25
"180",5,24,20,0.5
"181",6,24,20,0.25
"182",7,24,20,0.2
"183",1,24,17,0.166666666666667
"184",2,24,17,0
"185",3,24,17,0
"186",4,24,17,0
"187",5,24,17,0
"188",6,24,17,0
"189",7,24,17,0.25
"190",1,24,51,0
"191",2,24,51,0
"192",3,24,51,0
"193",4,24,51,0.2
"194",5,24,51,0.75
"195",6,24,51,0.5
"196",7,24,51,0.25
"197",1,24,55,0
"198",2,24,55,0
"199",3,24,55,0.111111111111111
"200",4,24,55,0.125
"201",5,24,55,0
"202",6,24,55,0
"203",7,24,55,0.2
"204",1,24,64,0.25
"205",2,24,64,0.2
"206",3,24,64,0.5
"207",4,24,64,0.333333333333333
"208",5,24,64,0.8
"209",6,24,64,0.75
"210",7,24,64,1
"211",1,24,72,0
"212",2,24,72,0.4
"213",3,24,72,0.25
"214",4,24,72,0.25
"215",5,24,72,0.75
"216",6,24,72,0
"217",7,24,72,0.25
"218",1,24,43,0.75
"219",2,24,43,0
"220",3,24,43,0.5
"221",4,24,43,0.428571428571429
"222",5,24,43,0.2
"223",6,24,43,0
"224",7,24,43,0.571428571428571
"225",1,24,1,0.25
"226",2,24,1,0.2
"227",3,24,1,0
"228",4,24,1,0.333333333333333
"229",5,24,1,0
"230",6,24,1,0
"231",7,24,1,0
"232",1,24,18,0
"233",2,24,18,0.25
"234",3,24,18,0
"235",4,24,18,0
"236",5,24,18,0
"237",6,24,18,0
"238",7,24,18,0
"239",1,24,53,0
"240",2,24,53,0.25
"241",3,24,53,0
"242",4,24,53,0
"243",5,24,53,0.75
"244",6,24,53,0.25
"245",7,24,53,0.2
"246",1,24,52,0.2
"247",2,24,52,0.285714285714286
"248",3,24,52,0.142857142857143
"249",4,24,52,0
"250",5,24,52,0.25
"251",6,24,52,0.4
"252",7,24,52,0.5
"253",1,24,2,0
"254",2,24,2,0
"255",3,24,2,0.142857142857143
"256",4,24,2,0
"257",5,24,2,0
"258",6,24,2,0.25
"259",7,24,2,0
"260",1,24,61,0
"261",2,24,61,0
"262",3,24,61,0
"263",4,24,61,0.142857142857143
"264",5,24,61,0.357142857142857
"265",6,24,61,0.166666666666667
"266",7,24,61,0.6
"267",1,24,74,0.6
"268",2,24,74,0.25
"269",3,24,74,0.142857142857143
"270",4,24,74,0.5
"271",5,24,74,0
"272",6,24,74,0.5
"273",7,24,74,0.5
"274",1,24,63,0.181818181818182
"275",2,24,63,0.181818181818182
"276",3,24,63,0.363636363636364
"277",4,24,63,0.111111111111111
"278",5,24,63,0
"279",6,24,63,0.142857142857143
"280",7,24,63,0.666666666666667
"281",1,24,57,0
"282",2,24,57,0
"283",3,24,57,0.25
"284",4,24,57,0.75
"285",5,24,57,0.5
"286",6,24,57,0.2
"287",7,24,57,0.25
"288",1,24,71,0.5
"289",2,24,71,1
"290",3,24,71,0.285714285714286
"291",4,24,71,0.5
"292",5,24,71,0.2
"293",6,24,71,0.4
"294",7,24,71,0.2
"295",1,24,56,0
"296",2,24,56,0
"297",3,24,56,0
"298",4,24,56,0
"299",5,24,56,0.375
"300",6,24,56,0.1
"301",7,24,56,0.142857142857143
"302",1,24,15,0.111111111111111
"303",2,24,15,0.142857142857143
"304",3,24,15,0.142857142857143
"305",4,24,15,0
"306",5,24,15,0.285714285714286
"307",6,24,15,0
"308",7,24,15,0.25
"309",1,24,13,0.111111111111111
"310",2,24,13,0
"311",3,24,13,0
"312",4,24,13,0.2
"313",5,24,13,0.25
"314",6,24,13,0.25
"315",7,24,13,0
"316",1,24,65,0.2
"317",2,24,65,0.333333333333333
"318",3,24,65,0
"319",4,24,65,0.6
"320",5,24,65,0.6
"321",6,24,65,0.5
"322",7,24,65,0.25
"323",1,24,11,0
"324",2,24,11,0.222222222222222
"325",3,24,11,0
"326",4,24,11,0.5
"327",5,24,11,0
"328",6,24,11,0
"329",7,24,11,0
"330",1,24,45,0
"331",2,24,45,0.166666666666667
"332",3,24,45,0
"333",4,24,45,0
"334",5,24,45,0
"335",6,24,45,0
"336",7,24,45,0.2
"337",1,24,54,0.142857142857143
"338",2,24,54,0.222222222222222
"339",3,24,54,0.166666666666667
"340",4,24,54,0.166666666666667
"341",5,24,54,0.4
"342",6,24,54,0.166666666666667
"343",7,24,54,0.333333333333333
"344",1,24,3,0
"345",2,24,3,0
"346",3,24,3,0
"347",4,24,3,0
"348",5,24,3,0
"349",6,24,3,0
"350",7,24,3,0
"351",1,24,49,0
"352",2,24,49,0
"353",3,24,49,0.75
"354",4,24,49,0.4
"355",5,24,49,0.25
"356",6,24,49,0
"357",7,24,49,0
"358",1,7,24,0.25
"359",2,7,24,0.5
"360",3,7,24,0.4
"361",4,7,24,0.5
"362",5,7,24,0.25
"363",6,7,24,0.75
"364",7,7,24,0
"365",1,7,40,0.333333333333333
"366",2,7,40,0.285714285714286
"367",3,7,40,0.125
"368",4,7,40,0.333333333333333
"369",5,7,40,0.333333333333333
"370",6,7,40,0.25
"371",7,7,40,0.333333333333333
"372",1,7,67,0.625
"373",2,7,67,0.5
"374",3,7,67,0.5
"375",4,7,67,0.2
"376",5,7,67,0.5
"377",6,7,67,0.5
"378",7,7,67,0.75
"379",1,7,50,0.25
"380",2,7,50,0.75
"381",3,7,50,0.166666666666667
"382",4,7,50,0.5
"383",5,7,50,0.5
"384",6,7,50,0.5
"385",7,7,50,0.75
"386",1,7,6,0.166666666666667
"387",2,7,6,0.142857142857143
"388",3,7,6,0.125
"389",4,7,6,0.4
"390",5,7,6,0
"391",6,7,6,0.5
"392",7,7,6,0.5
"393",1,7,58,0
"394",2,7,58,0.4
"395",3,7,58,0.75
"396",4,7,58,0.5
"397",5,7,58,0.75
"398",6,7,58,0.25
"399",7,7,58,0.5
"400",1,7,66,0.333333333333333
"401",2,7,66,0.6
"402",3,7,66,0.166666666666667
"403",4,7,66,1
"404",5,7,66,0.25
"405",6,7,66,0.714285714285714
"406",7,7,66,1
"407",1,7,47,0.4
"408",2,7,47,0.75
"409",3,7,47,0.5
"410",4,7,47,0.5
"411",5,7,47,0.25
"412",6,7,47,0.75
"413",7,7,47,0.6
"414",1,7,19,0.6
"415",2,7,19,0.25
"416",3,7,19,0.5
"417",4,7,19,0.75
"418",5,7,19,0.2
"419",6,7,19,0.5
"420",7,7,19,0.285714285714286
"421",1,7,27,0.6
"422",2,7,27,0.181818181818182
"423",3,7,27,0.4
"424",4,7,27,0.5
"425",5,7,27,0.125
"426",6,7,27,0.8
"427",7,7,27,0.5
"428",1,7,26,0.285714285714286
"429",2,7,26,0.2
"430",3,7,26,0.25
"431",4,7,26,0.1
"432",5,7,26,0.222222222222222
"433",6,7,26,0.222222222222222
"434",7,7,26,0.125
"435",1,7,62,0.6
"436",2,7,62,0.125
"437",3,7,62,0.142857142857143
"438",4,7,62,0.75
"439",5,7,62,0.8
"440",6,7,62,0.333333333333333
"441",7,7,62,0.2
"442",1,7,68,0.5
"443",2,7,68,0.5
"444",3,7,68,0.75
"445",4,7,68,0.5
"446",5,7,68,0.25
"447",6,7,68,0.75
"448",7,7,68,0.5
"449",1,7,42,0.4
"450",2,7,42,0.25
"451",3,7,42,0.75
"452",4,7,42,0.25
"453",5,7,42,0.5
"454",6,7,42,0.75
"455",7,7,42,0.5
"456",1,7,12,0.25
"457",2,7,12,0.142857142857143
"458",3,7,12,0
"459",4,7,12,0.2
"460",5,7,12,0.625
"461",6,7,12,0.125
"462",7,7,12,0.5
"463",1,7,69,0.166666666666667
"464",2,7,69,0.4
"465",3,7,69,0.5
"466",4,7,69,0
"467",5,7,69,0.5
"468",6,7,69,0.25
"469",7,7,69,0.5
"470",1,7,73,0.2
"471",2,7,73,0.5
"472",3,7,73,0.125
"473",4,7,73,0.5
"474",5,7,73,0.4
"475",6,7,73,0.25
"476",7,7,73,0.4
"477",1,7,44,0.5
"478",2,7,44,0.75
"479",3,7,44,0.25
"480",4,7,44,0.75
"481",5,7,44,0.75
"482",6,7,44,0.4
"483",7,7,44,1
"484",1,7,10,0.125
"485",2,7,10,0.75
"486",3,7,10,0.25
"487",4,7,10,0.6
"488",5,7,10,0.5
"489",6,7,10,0.25
"490",7,7,10,0.5
"491",1,7,41,0.4
"492",2,7,41,0.4
"493",3,7,41,0.6
"494",4,7,41,0.75
"495",5,7,41,0.75
"496",6,7,41,0.25
"497",7,7,41,0
"498",1,7,70,0.2
"499",2,7,70,0.75
"500",3,7,70,0.2
"501",4,7,70,0.5
"502",5,7,70,0
"503",6,7,70,0.5
"504",7,7,70,0.6
"505",1,7,48,0.4
"506",2,7,48,0.75
"507",3,7,48,0.75
"508",4,7,48,0.5
"509",5,7,48,0.75
"510",6,7,48,0.5
"511",7,7,48,0.25
"512",1,7,8,0.142857142857143
"513",2,7,8,0.2
"514",3,7,8,0
"515",4,7,8,0.142857142857143
"516",5,7,8,0
"517",6,7,8,0.166666666666667
"518",7,7,8,0.333333333333333
"519",1,7,9,0.142857142857143
"520",2,7,9,0.333333333333333
"521",3,7,9,0
"522",4,7,9,0.5
"523",5,7,9,0.5
"524",6,7,9,0.5
"525",7,7,9,0.5
"526",1,7,25,0.428571428571429
"527",2,7,25,0.333333333333333
"528",3,7,25,0.285714285714286
"529",4,7,25,0.333333333333333
"530",5,7,25,0.4
"531",6,7,25,0.285714285714286
"532",7,7,25,0.2
"533",1,7,20,0.428571428571429
"534",2,7,20,0.285714285714286
"535",3,7,20,0.25
"536",4,7,20,0.5
"537",5,7,20,0.5
"538",6,7,20,0.25
"539",7,7,20,0.2
"540",1,7,17,0.333333333333333
"541",2,7,17,0.4
"542",3,7,17,0
"543",4,7,17,0.25
"544",5,7,17,0.4
"545",6,7,17,0.5
"546",7,7,17,0.5
"547",1,7,51,0.125
"548",2,7,51,0.125
"549",3,7,51,0.285714285714286
"550",4,7,51,0.4
"551",5,7,51,0.5
"552",6,7,51,0.75
"553",7,7,51,0.75
"554",1,7,55,0.142857142857143
"555",2,7,55,0
"556",3,7,55,0.333333333333333
"557",4,7,55,0.125
"558",5,7,55,0.111111111111111
"559",6,7,55,0.333333333333333
"560",7,7,55,0.2
"561",1,7,64,0.5
"562",2,7,64,0.4
"563",3,7,64,0.666666666666667
"564",4,7,64,0.444444444444444
"565",5,7,64,0.6
"566",6,7,64,0.75
"567",7,7,64,1
"568",1,7,72,0
"569",2,7,72,0.4
"570",3,7,72,0.5
"571",4,7,72,0.25
"572",5,7,72,0.5
"573",6,7,72,0.375
"574",7,7,72,0
"575",1,7,43,0.5
"576",2,7,43,0.5
"577",3,7,43,0.5
"578",4,7,43,0.428571428571429
"579",5,7,43,0.4
"580",6,7,43,0
"581",7,7,43,0.142857142857143
"582",1,7,1,0.75
"583",2,7,1,0.4
"584",3,7,1,0.2
"585",4,7,1,0.166666666666667
"586",5,7,1,0.333333333333333
