,id,id_attack,tpl,section,tn,sz
0,49,54,3,7,2,7
1,49,54,3,7,2,9
2,49,54,3,7,2,6
3,49,54,3,7,2,6
4,49,54,3,7,2,5
5,49,54,3,7,2,6
6,49,54,3,7,2,6
7,49,24,3,7,1,4
8,49,24,3,7,1,4
9,49,24,3,7,2,5
10,49,24,3,7,2,4
11,49,24,3,7,1,4
12,49,24,3,7,2,4
13,49,24,3,7,2,4
14,49,67,3,7,3,8
15,49,67,3,7,2,4
16,49,67,3,7,2,8
17,49,67,3,7,2,5
18,49,67,3,7,2,4
19,49,67,3,7,1,4
20,49,67,3,7,2,4
21,49,44,3,7,2,4
22,49,44,3,7,1,4
23,49,44,3,7,2,4
24,49,44,3,7,2,4
25,49,44,3,7,2,4
26,49,44,3,7,2,5
27,49,44,3,7,1,4
28,49,42,3,7,2,5
29,49,42,3,7,1,4
30,49,42,3,7,1,4
31,49,42,3,7,0,4
32,49,42,3,7,1,4
33,49,42,3,7,1,4
34,49,42,3,7,1,4
35,49,43,3,7,2,4
36,49,43,3,7,2,4
37,49,43,3,7,2,4
38,49,43,3,7,2,7
39,49,43,3,7,2,5
40,49,43,3,7,2,8
41,49,43,3,7,2,7
42,49,8,3,7,7,21
43,49,8,3,7,3,10
44,49,8,3,7,3,8
45,49,8,3,7,2,7
46,49,8,3,7,2,6
47,49,8,3,7,2,6
48,49,8,3,7,3,6
49,49,6,3,7,2,6
50,49,6,3,7,2,7
51,49,6,3,7,3,8
52,49,6,3,7,2,5
53,49,6,3,7,2,7
54,49,6,3,7,2,4
55,49,6,3,7,2,4
56,49,65,3,7,2,5
57,49,65,3,7,2,6
58,49,65,3,7,2,6
59,49,65,3,7,2,5
60,49,65,3,7,1,5
61,49,65,3,7,1,4
62,49,65,3,7,2,4
63,49,13,3,7,2,9
64,49,13,3,7,1,4
65,49,13,3,7,2,5
66,49,13,3,7,1,5
67,49,13,3,7,1,4
68,49,13,3,7,1,4
69,49,13,3,7,1,4
70,49,62,3,7,3,5
71,49,62,3,7,2,8
72,49,62,3,7,2,7
73,49,62,3,7,1,4
74,49,62,3,7,2,5
75,49,62,3,7,3,6
76,49,62,3,7,3,5
77,49,50,3,7,4,8
78,49,50,3,7,4,8
79,49,50,3,7,4,12
80,49,50,3,7,4,8
81,49,50,3,7,4,8
82,49,50,3,7,4,8
83,49,50,3,7,2,8
84,49,48,3,7,2,5
85,49,48,3,7,2,4
86,49,48,3,7,2,4
87,49,48,3,7,2,4
88,49,48,3,7,1,4
89,49,48,3,7,2,4
90,49,48,3,7,0,4
91,49,51,3,7,2,8
92,49,51,3,7,2,8
93,49,51,3,7,3,7
94,49,51,3,7,2,5
95,49,51,3,7,1,4
96,49,51,3,7,1,4
97,49,51,3,7,2,4
98,49,74,3,7,2,5
99,49,74,3,7,2,4
100,49,74,3,7,2,7
101,49,74,3,7,2,4
102,49,74,3,7,2,4
103,49,74,3,7,2,4
104,49,74,3,7,1,4
105,49,73,3,7,2,5
106,49,73,3,7,1,4
107,49,73,3,7,2,8
108,49,73,3,7,0,4
109,49,73,3,7,2,5
110,49,73,3,7,1,4
111,49,73,3,7,2,5
112,49,53,3,7,2,7
113,49,53,3,7,2,4
114,49,53,3,7,4,8
115,49,53,3,7,3,6
116,49,53,3,7,1,4
117,49,53,3,7,2,4
118,49,53,3,7,2,5
119,49,18,3,7,2,7
120,49,18,3,7,3,8
121,49,18,3,7,2,4
122,49,18,3,7,1,4
123,49,18,3,7,1,4
124,49,18,3,7,1,4
125,49,18,3,7,1,5
126,49,9,3,7,3,7
127,49,9,3,7,2,6
128,49,9,3,7,2,7
129,49,9,3,7,2,6
130,49,9,3,7,2,6
131,49,9,3,7,2,4
132,49,9,3,7,2,4
133,49,56,3,7,3,10
134,49,56,3,7,4,9
135,49,56,3,7,2,6
136,49,56,3,7,2,7
137,49,56,3,7,2,8
138,49,56,3,7,3,10
139,49,56,3,7,2,7
140,49,20,3,7,2,7
141,49,20,3,7,2,7
142,49,20,3,7,1,4
143,49,20,3,7,2,4
144,49,20,3,7,2,4
145,49,20,3,7,2,4
146,49,20,3,7,2,5
147,49,68,3,7,2,4
148,49,68,3,7,2,4
149,49,68,3,7,1,4
150,49,68,3,7,2,4
151,49,68,3,7,1,4
152,49,68,3,7,1,4
153,49,68,3,7,2,4
154,49,72,3,7,1,4
155,49,72,3,7,2,5
156,49,72,3,7,1,4
157,49,72,3,7,0,4
158,49,72,3,7,1,4
159,49,72,3,7,5,8
160,49,72,3,7,1,4
161,49,3,3,7,3,6
162,49,3,3,7,2,7
163,49,3,3,7,2,7
164,49,3,3,7,2,7
165,49,3,3,7,2,7
166,49,3,3,7,2,9
167,49,3,3,7,2,7
168,49,15,3,7,4,9
169,49,15,3,7,2,7
170,49,15,3,7,4,14
171,49,15,3,7,2,7
172,49,15,3,7,2,7
173,49,15,3,7,2,6
174,49,15,3,7,2,4
175,49,26,3,7,4,7
176,49,26,3,7,2,10
177,49,26,3,7,2,8
178,49,26,3,7,3,10
179,49,26,3,7,2,9
180,49,26,3,7,2,9
181,49,26,3,7,2,8
182,49,63,3,7,4,11
183,49,63,3,7,3,11
184,49,63,3,7,5,11
185,49,63,3,7,3,9
186,49,63,3,7,3,8
187,49,63,3,7,3,7
188,49,63,3,7,2,6
189,49,40,3,7,2,6
190,49,40,3,7,2,7
191,49,40,3,7,2,8
192,49,40,3,7,3,6
193,49,40,3,7,2,6
194,49,40,3,7,4,8
195,49,40,3,7,3,6
196,49,25,3,7,2,7
197,49,25,3,7,2,6
198,49,25,3,7,2,7
199,49,25,3,7,2,6
200,49,25,3,7,2,5
201,49,25,3,7,2,7
202,49,25,3,7,2,5
203,49,64,3,7,0,4
204,49,64,3,7,1,5
205,49,64,3,7,2,6
206,49,64,3,7,2,9
207,49,64,3,7,2,5
208,49,64,3,7,1,4
209,49,64,3,7,1,4
210,49,57,3,7,2,4
211,49,57,3,7,1,4
212,49,57,3,7,1,4
213,49,57,3,7,1,4
214,49,57,3,7,2,4
215,49,57,3,7,2,5
216,49,57,3,7,0,4
217,49,10,3,7,2,8
218,49,10,3,7,2,4
219,49,10,3,7,2,4
220,49,10,3,7,2,5
221,49,10,3,7,2,4
222,49,10,3,7,2,4
223,49,10,3,7,1,4
