,id,cmp,tpl,score
0,49,10,1,1.0
1,49,10,2,1.0
2,54,10,1,1.0
3,54,10,2,1.0
4,24,10,1,0.75
5,24,10,2,1.0
6,67,11,1,1.0
7,67,10,2,1.0
8,44,16,1,1.0
9,44,10,2,1.0
10,42,10,1,1.0
11,42,10,2,1.0
12,43,10,1,1.0
13,43,10,2,1.0
14,8,11,1,1.0
15,8,13,2,1.0
16,6,11,1,0.75
17,6,10,2,1.0
18,65,11,1,1.0
19,65,10,2,1.0
20,13,11,1,1.0
21,13,10,2,1.0
22,62,11,1,0.8333333333333334
23,62,11,2,1.0
24,50,10,1,1.0
25,50,12,2,1.0
26,48,10,1,1.0
27,48,11,2,1.0
28,51,12,1,0.75
29,51,10,2,1.0
30,74,10,1,1.0
31,74,10,2,1.0
32,73,13,1,1.0
33,73,11,2,0.8
34,53,11,1,1.0
35,53,17,2,1.0
36,18,14,1,1.0
37,18,10,2,1.0
38,9,10,1,1.0
39,9,12,2,0.75
40,56,12,1,1.0
41,56,14,2,1.0
42,20,10,1,1.0
43,20,10,2,1.0
44,68,10,1,0.75
45,68,10,2,1.0
46,72,19,1,1.0
47,72,10,2,0.75
48,3,10,1,1.0
49,3,10,2,1.0
50,15,11,1,1.0
51,15,16,2,1.0
52,26,22,1,0.8888888888888888
53,26,10,2,0.875
54,63,11,1,1.0
55,63,17,2,0.8333333333333334
56,40,10,1,1.0
57,40,11,2,1.0
58,25,10,1,1.0
59,25,13,2,1.0
60,64,12,1,0.5
61,64,11,2,1.0
62,57,12,1,1.0
63,57,10,2,0.75
64,10,10,1,0.5
65,10,10,2,0.75
66,12,10,1,1.0
67,12,10,2,0.5
68,7,10,1,0.5
69,7,10,2,1.0
70,52,11,1,1.0
71,52,11,2,1.0
72,55,11,1,1.0
73,55,13,2,0.8
74,1,10,1,1.0
75,1,10,2,1.0
76,70,14,1,1.0
77,70,11,2,1.0
78,66,10,1,1.0
79,66,10,2,1.0
80,61,10,1,1.0
81,61,10,2,1.0
82,2,10,1,0.5
83,2,10,2,1.0
84,27,11,1,1.0
85,27,10,2,1.0
86,58,10,1,1.0
87,58,14,2,1.0
88,11,13,1,1.0
89,11,10,2,1.0
90,71,12,1,1.0
91,71,15,2,1.0
92,19,15,1,1.0
93,19,10,2,1.0
94,17,13,1,1.0
95,17,11,2,1.0
96,41,12,1,1.0
97,41,10,2,1.0
98,69,10,1,1.0
99,69,11,2,1.0
100,47,14,1,1.0
101,47,10,2,1.0
102,45,12,1,1.0
103,45,14,2,1.0
